A1 Nouns,A1 Verbs,A1 Adjectives,A1 Adverbs & Others,A2 Nouns,A2 Verbs,A2 Adjectives,A2 Adverbs & Others,B1 Nouns (Complete),B1 Verbs,B1 Adjectives,B1 Adverbs & Others,B2 Nouns,B2 Verbs,B2 Adjectives (A-Z)
action,answer,afraid,about,ability,ability,able,abroad,ability,access,absolute,abroad,Abuse,abolish,abandoned
activity,arrive,amazing,above,accident,accept,absolute,absolutely,abortion,admire,academic,absolutely,Account,absorb,absolute
actor,ask,angry,across,account,achieve,academic,accidentally,absence,admit,acceptable,accordingly,Achievement,abuse,academic
actress,be,bad,ad,achievement,act,acceptable,according to,accent,advise,accompanied,accurately,Activist,accelerate,acceptable
address,become,beautiful,after,act,add,accompanied,accurately,acceptance,afford,accurate,actually,Ad,accent,accompanied
adult,begin,big,again,action,admire,accurate,active,access,age,active,after,Adaptation,accept,accountable
advice,believe,black,ago,activity,admit,active,actually,accident,aim,additional,afterwards,Addition,access,accurate
afternoon,break,blue,all,actor,advertise,additional,after,accommodation,alarm,administrative,again,Administration,accommodate,accustomed
age,bring,bored,almost,ad,advise,adult,afterwards,account,analyze,advanced,ago,Adoption,accompany,achievable
air,build,boring,also,addition,afford,advanced,again,achievement,announce,adventurous,alike,Advance,accomplish,acid
airport,buy,brave,always,adult,agree,adventurous,ago,acid,annoy,affordable,all,Advantage,accumulate,active
animal,call,bright,and,adventure,allow,affordable,all,act,apologize,aged,almost,Adventure,accuse,actual
answer,can,brown,any,advertisement,announce,alike,almost,action,appreciate,alike,alone,Advert,achieve,acute
apartment,change,busy,anyone,advice,appear,alive,alone,active,approve,alive,along,Advertising,acknowledge,adamant
apple,check,careful,anything,air,apply,alone,along,activity,argue,amazing,already,Advice,acquire,adaptable
April,choose,cheap,apple,album,argue,amazing,already,actor,arrest,ambitious,also,Advocate,adapt,additional
area,clean,clean,around,alcohol,arrange,ambitious,also,actress,assist,amused,altogether,Affair,add,adequate
arm,close,clear,as,amount,arrest,amused,always,ad,attach,amusing,always,Affection,adjust,adjacent
art,come,close,at,appearance,attack,amusing,any,addition,attract,ancient,any,Agency,administer,administrative
article,cook,cold,because,architect,attend,ancient,anymore,address,average,annual,anymore,Agenda,admire,adolescent
artist,cost,colorful,before,architecture,attract,annual,anyway,administration,award,anxious,anyway,Agent,admit,adopted
August,could,common,below,army,avoid,anxious,anywhere,admiration,bake,apparent,anywhere,Agriculture,adopt,advanced
aunt,cry,complete,between,arrangement,base,artificial,apart,admission,balance,appropriate,apart,Aid,advance,adventurous
baby,dance,correct,but,art,beat,artistic,apparently,adult,ban,artificial,apparently,Alarm,advertise,adverse
back,do,dangerous,by,artist,become,asleep,appropriately,advance,base,artistic,appropriately,Album,advise,affordable
bag,draw,dark,down,assistant,begin,atomic,approximately,adventure,beat,ashamed,approximately,Alcohol,advocate,afraid
ball,drink,dead,during,athlete,behave,attractive,around,advertisement,bend,asleep,around,Alien,affect,aged
banana,drive,dear,enough,atmosphere,belong,automatic,as,advertising,benefit,assistant,as,Alignment,afford,aggressive
band,eat,deep,even,attention,bite,available,aside,advice,bite,atomic,aside,Allegation,age,agricultural
bank,enjoy,different,ever,audience,blow,average,asleep,affair,blame,attractive,asleep,Alliance,aggregate,alarming
bath,explain,difficult,every,author,board,awake,at least,affect,block,automatic,at least,Allowance,agree,alert
bathroom,feel,dirty,everyone,average,borrow,aware,away,afternoon,board,available,away,Ally,aid,alien
beach,fill,dry,everything,background,boss,awful,back,age,bomb,average,back,Alteration,aim,aligned
bed,find,early,for,bag,bother,background,backwards,agency,bother,awake,backwards,Alternative,alarm,alive
bedroom,finish,easy,from,base,brush,basic,badly,agent,brand,aware,badly,Ambassador,alert,allegorical
beer,fly,empty,how,basket,burn,beautiful,basically,agreement,breathe,awful,basically,Ambition,alienate,allied
beginning,forget,excited,if,bat,camp,bent,because of,aid,broadcast,awkward,because of,Amount,align,amazing
bicycle,get,exciting,in,battery,care,best,before,aim,brush,basic,before,Analogy,allege,ambitious
bike,give,expensive,inside,battle,carry,better,behind,air,burn,beneficial,behind,Analysis,alleviate,ambivalent
bird,go,fair,into,beauty,catch,biological,below,aircraft,campaign,bent,below,Analyst,allocate,amenable
birthday,grow,famous,just,bee,cause,bitter,besides,airline,care,best-selling,besides,Ancestor,allow,amusing
black,happen,far,maybe,behavior,celebrate,blank,best,airport,celebrate,biological,best,Anchor,ally,analytical
blue,have,fast,more,bell,change,blind,better,alarm,center,bitter,better,Angel,alter,ancient
boat,hear,fat,most,belt,charge,blonde,between,album,challenge,blank,between,Anger,amaze,angry
body,help,favorite,much,benefit,chat,boiling,bit,alcohol,charge,blind,bit,Angle,amend,annual
book,hope,fine,never,bill,check,bold,both,alive,chat,blonde,both,Animation,amount,anonymous
boot,know,first,no,biology,choose,bored,briefly,alphabet,cheat,boiling,briefly,Anniversary,amplify,anxious
bottle,laugh,free,not,bit,clean,bottom,bright,alternative,check,bold,bright,Announcement,amuse,apparent
box,learn,fresh,now,blood,climb,brave,by,ambition,claim,brave,by,Antenna,analyze,appealing
boy,leave,friendly,of,board,close,brief,carefully,amount,clear,brief,carefully,Anticipation,anchor,applicable
boyfriend,like,full,off,boat,collect,brilliant,certainly,analysis,click,brilliant,certainly,Apology,announce,appropriate
bread,listen,funny,often,body,combine,broad,clearly,anchor,climb,broad,clearly,Apparatus,annoy,approximate
break,live,general,on,bone,come,broken,close,ancient,coach,broken,close,Appeal,anticipate,arbitrary
breakfast,look,glad,only,book,comfort,busy,closely,angel,collect,busy,closely,Appearance,apologize,architectural
brother,love,good,or,border,compare,calm,completely,anger,combine,calm,comfortably,Appetite,appeal,arctic
brown,make,great,out,bottle,complain,capable,comfortably,angle,comment,capable,completely,Applause,appear,ardent
building,may,green,outside,bottom,complete,careful,constantly,animal,commit,careful,constantly,Apple,applaud,arduous
bus,mean,grey,over,bowl,concentrate,careless,daily,ankle,communicate,careless,daily,Appliance,apply,armed
business,meet,happy,please,brain,conclude,casual,deep,anniversary,compare,casual,deep,Applicant,appoint,artificial
butter,move,hard,really,bridge,confirm,central,definitely,announcement,compete,central,definitely,Application,appraise,artistic
cafe,must,healthy,so,bright,connect,certain,deliberately,annoyance,complain,certain,deliberately,Appointment,appreciate,ashamed
