Level,Part of Speech,Word
A1,Adjectives,TRUE
A1,Adjectives,boring
A1,Adjectives,busy
A1,Adjectives,careful
A1,Adjectives,common
A1,Adjectives,complete
A1,Adjectives,correct
A1,Adjectives,dead
A1,Adjectives,dear
A1,Adjectives,difficult
A1,Adjectives,famous
A1,Adjectives,first
A1,Adjectives,glad
A1,Adjectives,grey
A1,Adjectives,high
A1,Adjectives,important
A1,Adjectives,kind
A1,Adjectives,local
A1,Adjectives,low
A1,Adjectives,lucky
A1,Adjectives,main
A1,Adjectives,modern
A1,Adjectives,natural
A1,Adjectives,necessary
A1,Adjectives,normal
A1,Adjectives,other
A1,Adjectives,personal
A1,Adjectives,popular
A1,Adjectives,possible
A1,Adjectives,pretty
A1,Adjectives,quick
A1,Adjectives,real
A1,Adjectives,rich
A1,Adjectives,same
A1,Adjectives,silent
A1,Adjectives,simple
A1,Adjectives,single
A1,Adjectives,special
A1,Adjectives,sugar
A1,Adjectives,thin
A1,Adjectives,typical
A1,Adjectives,ugly
A1,Adjectives,wild
A1,Adjectives,wise
A1,Adjectives,wrong
A1,Adjectives,young
A1,Adverbs & Others,about
A1,Adverbs & Others,above
A1,Adverbs & Others,across
A1,Adverbs & Others,ad
A1,Adverbs & Others,ago
A1,Adverbs & Others,almost
A1,Adverbs & Others,always
A1,Adverbs & Others,and
A1,Adverbs & Others,around
A1,Adverbs & Others,as
A1,Adverbs & Others,at
A1,Adverbs & Others,because
A1,Adverbs & Others,below
A1,Adverbs & Others,but
A1,Adverbs & Others,by
A1,Adverbs & Others,during
A1,Adverbs & Others,enough
A1,Adverbs & Others,even
A1,Adverbs & Others,ever
A1,Adverbs & Others,every
A1,Adverbs & Others,for
A1,Adverbs & Others,from
A1,Adverbs & Others,if
A1,Adverbs & Others,into
A1,Adverbs & Others,most
A1,Adverbs & Others,much
A1,Adverbs & Others,never
A1,Adverbs & Others,not
A1,Adverbs & Others,of
A1,Adverbs & Others,often
A1,Adverbs & Others,only
A1,Adverbs & Others,or
A1,Adverbs & Others,so
A1,Adverbs & Others,somebody
A1,Adverbs & Others,sometimes
A1,Adverbs & Others,soon
A1,Adverbs & Others,then
A1,Adverbs & Others,through
A1,Adverbs & Others,until
A1,Adverbs & Others,with
A1,Adverbs & Others,without
A1,Adverbs & Others,yet
A1,Nouns,April
A1,Nouns,August
A1,Nouns,CD
A1,Nouns,DVD
A1,Nouns,December
A1,Nouns,February
A1,Nouns,Friday
A1,Nouns,January
A1,Nouns,July
A1,Nouns,June
A1,Nouns,Monday
A1,Nouns,November
A1,Nouns,October
A1,Nouns,Saturday
A1,Nouns,September
A1,Nouns,T-shirt
A1,Nouns,Tuesday
A1,Nouns,action
A1,Nouns,activity
A1,Nouns,actor
A1,Nouns,actress
A1,Nouns,address
A1,Nouns,advice
A1,Nouns,animal
A1,Nouns,answer
A1,Nouns,apartment
A1,Nouns,arm
A1,Nouns,art
A1,Nouns,article
A1,Nouns,beer
A1,Nouns,boot
A1,Nouns,boyfriend
A1,Nouns,building
A1,Nouns,business
A1,Nouns,cake
A1,Nouns,card
A1,Nouns,center
A1,Nouns,change
A1,Nouns,chocolate
A1,Nouns,clothes
A1,Nouns,club
A1,Nouns,college
A1,Nouns,color
A1,Nouns,company
A1,Nouns,conversation
A1,Nouns,cooking
A1,Nouns,course
A1,Nouns,cousin
A1,Nouns,culture
A1,Nouns,customer
A1,Nouns,dancer
A1,Nouns,date
A1,Nouns,daughter
A1,Nouns,description
A1,Nouns,design
A1,Nouns,detail
A1,Nouns,dialogue
A1,Nouns,diet
A1,Nouns,difference
A1,Nouns,dish
A1,Nouns,dollar
A1,Nouns,driver
A1,Nouns,ear
A1,Nouns,east
A1,Nouns,eight
A1,Nouns,eighteen
A1,Nouns,eighty
A1,Nouns,eleven
A1,Nouns,end
A1,Nouns,euro
A1,Nouns,event
A1,Nouns,example
A1,Nouns,eye
A1,Nouns,farmer
A1,Nouns,feeling
A1,Nouns,festival
A1,Nouns,fifteen
A1,Nouns,fifty
A1,Nouns,film
A1,Nouns,final
A1,Nouns,flight
A1,Nouns,floor
A1,Nouns,foot
A1,Nouns,form
A1,Nouns,four
A1,Nouns,fourteen
A1,Nouns,fun
A1,Nouns,geography
A1,Nouns,girlfriend
A1,Nouns,goodbye
A1,Nouns,grandfather
A1,Nouns,grandmother
A1,Nouns,grandparent
A1,Nouns,grey
A1,Nouns,guess
A1,Nouns,hand
A1,Nouns,head
A1,Nouns,health
A1,Nouns,history
A1,Nouns,husband
A1,Nouns,ice cream
A1,Nouns,interest
A1,Nouns,interview
A1,Nouns,kind
A1,Nouns,land
A1,Nouns,leg
A1,Nouns,lesson
A1,Nouns,letter
A1,Nouns,line
A1,Nouns,machine
A1,Nouns,meat
A1,Nouns,mirror
A1,Nouns,model
A1,Nouns,moment
A1,Nouns,mouth
A1,Nouns,music
A1,Nouns,newspaper
A1,Nouns,nine
A1,Nouns,nineteen
A1,Nouns,ninety
A1,Nouns,north
A1,Nouns,nose
A1,Nouns,note
A1,Nouns,number
A1,Nouns,oil
A1,Nouns,order
A1,Nouns,page
A1,Nouns,paint
A1,Nouns,parent
A1,Nouns,part
A1,Nouns,passenger
A1,Nouns,passport
A1,Nouns,pet
A1,Nouns,photograph
A1,Nouns,phrase
A1,Nouns,picture
A1,Nouns,piece
A1,Nouns,place
A1,Nouns,plan
A1,Nouns,player
A1,Nouns,policeman
A1,Nouns,practice
A1,Nouns,program
A1,Nouns,question
A1,Nouns,radio
A1,Nouns,rain
A1,Nouns,road
A1,Nouns,room
A1,Nouns,salt
A1,Nouns,science
A1,Nouns,sea
A1,Nouns,sentence
A1,Nouns,seven
A1,Nouns,seventeen
A1,Nouns,seventy
A1,Nouns,shoe
A1,Nouns,six
A1,Nouns,sixteen
A1,Nouns,sixty
A1,Nouns,son
A1,Nouns,south
A1,Nouns,station
A1,Nouns,street
A1,Nouns,study
A1,Nouns,sugar
A1,Nouns,sun
A1,Nouns,supermarket
A1,Nouns,team
A1,Nouns,telephone
A1,Nouns,television
A1,Nouns,ten
A1,Nouns,thing
A1,Nouns,thirteen
A1,Nouns,thirty
A1,Nouns,three
A1,Nouns,trip
A1,Nouns,trousers
A1,Nouns,twelve
A1,Nouns,twenty
A1,Nouns,two
A1,Nouns,university
A1,Nouns,vegetable
A1,Nouns,wall
A1,Nouns,way
A1,Nouns,week
A1,Nouns,west
A1,Nouns,wife
A1,Nouns,wine
A1,Nouns,word
A1,Nouns,world
A1,Nouns,writing
A1,Nouns,zero
A1,Verbs,answer
A1,Verbs,arrive
A1,Verbs,become
A1,Verbs,begin
A1,Verbs,believe
A1,Verbs,bring
A1,Verbs,change
A1,Verbs,choose
A1,Verbs,cry
A1,Verbs,drive
A1,Verbs,explain
A1,Verbs,fill
A1,Verbs,find
A1,Verbs,fly
A1,Verbs,grow
A1,Verbs,happen
A1,Verbs,hope
A1,Verbs,leave
A1,Verbs,live
A1,Verbs,mean
A1,Verbs,meet
A1,Verbs,must
A1,Verbs,paint
A1,Verbs,practice
A1,Verbs,put
A1,Verbs,ride
A1,Verbs,send
A1,Verbs,shall
A1,Verbs,should
A1,Verbs,spend
A1,Verbs,stay
A1,Verbs,study
A1,Verbs,swim
A1,Verbs,travel
A1,Verbs,understand
A1,Verbs,use
A1,Verbs,wear
A2,Adjectives,FALSE
A2,Adjectives,TRUE
A2,Adjectives,able
A2,Adjectives,absolute
A2,Adjectives,academic
A2,Adjectives,accompanied
A2,Adjectives,accurate
A2,Adjectives,additional
A2,Adjectives,advanced
A2,Adjectives,affordable
A2,Adjectives,alike
A2,Adjectives,alive
A2,Adjectives,ambitious
A2,Adjectives,amusing
A2,Adjectives,ancient
A2,Adjectives,annual
A2,Adjectives,artificial
A2,Adjectives,artistic
A2,Adjectives,asleep
A2,Adjectives,atomic
A2,Adjectives,attractive
A2,Adjectives,automatic
A2,Adjectives,available
A2,Adjectives,background
A2,Adjectives,basic
A2,Adjectives,best
A2,Adjectives,biological
A2,Adjectives,bitter
A2,Adjectives,blank
A2,Adjectives,blind
A2,Adjectives,blonde
A2,Adjectives,bottom
A2,Adjectives,busy
A2,Adjectives,capable
A2,Adjectives,careful
A2,Adjectives,careless
A2,Adjectives,casual
A2,Adjectives,central
A2,Adjectives,certain
A2,Adjectives,challenging
A2,Adjectives,charming
A2,Adjectives,cheerful
A2,Adjectives,chemical
A2,Adjectives,chief
A2,Adjectives,classic
A2,Adjectives,classical
A2,Adjectives,closed
A2,Adjectives,coastal
A2,Adjectives,common
A2,Adjectives,competitive
A2,Adjectives,complete
A2,Adjectives,complicated
A2,Adjectives,confident
A2,Adjectives,conscious
A2,Adjectives,conservative
A2,Adjectives,considerable
A2,Adjectives,constant
A2,Adjectives,contemporary
A2,Adjectives,convenient
A2,Adjectives,correct
A2,Adjectives,courageous
A2,Adjectives,crazy
A2,Adjectives,crowded
A2,Adjectives,cruel
A2,Adjectives,cultural
A2,Adjectives,curly
A2,Adjectives,current
A2,Adjectives,daily
A2,Adjectives,dead
A2,Adjectives,deaf
A2,Adjectives,dear
A2,Adjectives,definite
A2,Adjectives,delighted
A2,Adjectives,demanding
A2,Adjectives,depressed
A2,Adjectives,depressing
A2,Adjectives,desirable
A2,Adjectives,difficult
A2,Adjectives,digital
A2,Adjectives,direct
A2,Adjectives,distinct
A2,Adjectives,domestic
A2,Adjectives,dramatic
A2,Adjectives,dressed
A2,Adjectives,drunk
A2,Adjectives,dull
A2,Adjectives,eager
A2,Adjectives,eastern
A2,Adjectives,economic
A2,Adjectives,educated
A2,Adjectives,educational
A2,Adjectives,efficient
A2,Adjectives,elderly
A2,Adjectives,electric
A2,Adjectives,electrical
A2,Adjectives,electronic
A2,Adjectives,elementary
A2,Adjectives,embarrassed
A2,Adjectives,embarrassing
A2,Adjectives,emotional
A2,Adjectives,engaged
A2,Adjectives,enjoyable
A2,Adjectives,entire
A2,Adjectives,environmental
A2,Adjectives,equivalent
A2,Adjectives,essential
A2,Adjectives,even
A2,Adjectives,everyday
A2,Adjectives,exact
A2,Adjectives,exotic
A2,Adjectives,experienced
A2,Adjectives,expert
A2,Adjectives,external
A2,Adjectives,familiar
A2,Adjectives,fascinating
A2,Adjectives,fashionable
A2,Adjectives,federal
A2,Adjectives,fellow
A2,Adjectives,female
A2,Adjectives,final
A2,Adjectives,financial
A2,Adjectives,fit
A2,Adjectives,fixed
A2,Adjectives,flat
A2,Adjectives,flexible
A2,Adjectives,following
A2,Adjectives,fond
A2,Adjectives,foreign
A2,Adjectives,formal
A2,Adjectives,former
A2,Adjectives,fortunate
A2,Adjectives,frequent
A2,Adjectives,frightened
A2,Adjectives,frightening
A2,Adjectives,frozen
A2,Adjectives,full-time
A2,Adjectives,fun
A2,Adjectives,fundamental
A2,Adjectives,further
A2,Adjectives,generous
A2,Adjectives,genuine
A2,Adjectives,giant
A2,Adjectives,glad
A2,Adjectives,global
A2,Adjectives,glorious
A2,Adjectives,golden
A2,Adjectives,good-looking
A2,Adjectives,grey
A2,Adjectives,habitual
A2,Adjectives,handy
A2,Adjectives,harmful
A2,Adjectives,helpless
A2,Adjectives,hidden
A2,Adjectives,high
A2,Adjectives,historic
A2,Adjectives,historical
A2,Adjectives,holy
A2,Adjectives,homeless
A2,Adjectives,honest
A2,Adjectives,hopeless
A2,Adjectives,humorous
A2,Adjectives,ideal
A2,Adjectives,identical
A2,Adjectives,ill
A2,Adjectives,illegal
A2,Adjectives,imaginary
A2,Adjectives,immediate
A2,Adjectives,imperial
A2,Adjectives,important
A2,Adjectives,impossible
A2,Adjectives,impressed
A2,Adjectives,inappropriate
A2,Adjectives,independent
A2,Adjectives,individual
A2,Adjectives,industrial
A2,Adjectives,inevitable
A2,Adjectives,inexpensive
A2,Adjectives,infectious
A2,Adjectives,inferior
A2,Adjectives,informal
A2,Adjectives,injured
A2,Adjectives,inner
A2,Adjectives,innocent
A2,Adjectives,instrumental
A2,Adjectives,intellectual
A2,Adjectives,intelligent
A2,Adjectives,intensive
A2,Adjectives,interior
A2,Adjectives,internal
A2,Adjectives,international
A2,Adjectives,invisible
A2,Adjectives,involved
A2,Adjectives,joint
A2,Adjectives,jolly
A2,Adjectives,juicy
A2,Adjectives,junior
A2,Adjectives,keen
A2,Adjectives,kind
A2,Adjectives,known
A2,Adjectives,latest
A2,Adjectives,lazy
A2,Adjectives,leading
A2,Adjectives,legal
A2,Adjectives,legendary
A2,Adjectives,leisure
A2,Adjectives,likely
A2,Adjectives,live
A2,Adjectives,lively
A2,Adjectives,local
A2,Adjectives,long-term
A2,Adjectives,lost
A2,Adjectives,low
A2,Adjectives,lower
A2,Adjectives,loyal
A2,Adjectives,lucky
A2,Adjectives,luxury
A2,Adjectives,magic
A2,Adjectives,main
A2,Adjectives,male
A2,Adjectives,managed
A2,Adjectives,manual
A2,Adjectives,manufacturing
A2,Adjectives,marine
A2,Adjectives,marked
A2,Adjectives,married
A2,Adjectives,massive
A2,Adjectives,master
A2,Adjectives,maximum
A2,Adjectives,medium
A2,Adjectives,mental
A2,Adjectives,mere
A2,Adjectives,mild
A2,Adjectives,military
A2,Adjectives,minimum
A2,Adjectives,minor
A2,Adjectives,miserable
A2,Adjectives,missing
A2,Adjectives,mixed
A2,Adjectives,mobile
A2,Adjectives,modern
A2,Adjectives,modest
A2,Adjectives,molecular
A2,Adjectives,monthly
A2,Adjectives,moral
A2,Adjectives,most
A2,Adjectives,multiple
A2,Adjectives,muscular
A2,Adjectives,musical
A2,Adjectives,naked
A2,Adjectives,national
A2,Adjectives,native
A2,Adjectives,natural
A2,Adjectives,nearby
A2,Adjectives,neat
A2,Adjectives,necessary
A2,Adjectives,negative
A2,Adjectives,neighborly
A2,Adjectives,neutral
A2,Adjectives,noble
A2,Adjectives,non-stop
A2,Adjectives,normal
A2,Adjectives,northern
A2,Adjectives,notable
A2,Adjectives,noticeable
A2,Adjectives,nuclear
A2,Adjectives,numerous
A2,Adjectives,objective
A2,Adjectives,occasional
A2,Adjectives,occupied
A2,Adjectives,offensive
A2,Adjectives,official
A2,Adjectives,old-fashioned
A2,Adjectives,online
A2,Adjectives,only
A2,Adjectives,operational
A2,Adjectives,ordinary
A2,Adjectives,organic
A2,Adjectives,original
A2,Adjectives,other
A2,Adjectives,outer
A2,Adjectives,overall
A2,Adjectives,overseas
A2,Adjectives,painful
A2,Adjectives,part-time
A2,Adjectives,partial
A2,Adjectives,particular
A2,Adjectives,permanent
A2,Adjectives,personal
A2,Adjectives,physical
A2,Adjectives,pleasing
A2,Adjectives,plenty
A2,Adjectives,pointed
A2,Adjectives,poisonous
A2,Adjectives,political
A2,Adjectives,popular
A2,Adjectives,positive
A2,Adjectives,possible
A2,Adjectives,potential
A2,Adjectives,powerful
A2,Adjectives,practical
A2,Adjectives,precious
A2,Adjectives,precise
A2,Adjectives,preliminary
A2,Adjectives,prepared
A2,Adjectives,presidential
A2,Adjectives,pretty
A2,Adjectives,previous
A2,Adjectives,primary
A2,Adjectives,prime
A2,Adjectives,principal
A2,Adjectives,prior
A2,Adjectives,private
A2,Adjectives,prize
A2,Adjectives,professional
A2,Adjectives,profitable
A2,Adjectives,progressive
A2,Adjectives,prominent
A2,Adjectives,promising
A2,Adjectives,proper
A2,Adjectives,protected
A2,Adjectives,psychological
A2,Adjectives,pure
A2,Adjectives,puzzled
A2,Adjectives,quaint
A2,Adjectives,qualified
A2,Adjectives,quality
A2,Adjectives,quick
A2,Adjectives,racial
A2,Adjectives,radical
A2,Adjectives,raw
A2,Adjectives,real
A2,Adjectives,realistic
A2,Adjectives,rear
A2,Adjectives,reasonable
A2,Adjectives,recent
A2,Adjectives,recreational
A2,Adjectives,redundant
A2,Adjectives,regional
A2,Adjectives,regular
A2,Adjectives,related
A2,Adjectives,relative
A2,Adjectives,reliable
A2,Adjectives,religious
A2,Adjectives,reluctant
A2,Adjectives,repeated
A2,Adjectives,representative
A2,Adjectives,residential
A2,Adjectives,resigned
A2,Adjectives,respected
A2,Adjectives,responsible
A2,Adjectives,resulting
A2,Adjectives,retired
A2,Adjectives,rich
A2,Adjectives,ripe
A2,Adjectives,rising
A2,Adjectives,rival
A2,Adjectives,rocky
A2,Adjectives,royal
A2,Adjectives,rude
A2,Adjectives,rural
A2,Adjectives,sacred
A2,Adjectives,same
A2,Adjectives,scheduled
A2,Adjectives,scientific
A2,Adjectives,seasonal
A2,Adjectives,secondary
A2,Adjectives,secure
A2,Adjectives,select
A2,Adjectives,senior
A2,Adjectives,sensible
A2,Adjectives,settled
A2,Adjectives,short-term
A2,Adjectives,shut
A2,Adjectives,significant
A2,Adjectives,silent
A2,Adjectives,simple
A2,Adjectives,sincere
A2,Adjectives,single
A2,Adjectives,skilled
A2,Adjectives,slight
A2,Adjectives,smart
A2,Adjectives,solar
A2,Adjectives,sole
A2,Adjectives,solid
A2,Adjectives,sophisticated
A2,Adjectives,southern
A2,Adjectives,spare
A2,Adjectives,special
A2,Adjectives,specific
A2,Adjectives,spiritual
A2,Adjectives,spoken
A2,Adjectives,spontaneous
A2,Adjectives,sporting
A2,Adjectives,stable
A2,Adjectives,standard
A2,Adjectives,steep
A2,Adjectives,stiff
A2,Adjectives,stormy
A2,Adjectives,straightforward
A2,Adjectives,strategic
A2,Adjectives,stressed
A2,Adjectives,stressful
A2,Adjectives,strict
A2,Adjectives,structural
A2,Adjectives,stubborn
A2,Adjectives,stuck
A2,Adjectives,stupid
A2,Adjectives,stylish
A2,Adjectives,subjective
A2,Adjectives,substantial
A2,Adjectives,subtle
A2,Adjectives,sufficient
A2,Adjectives,suitable
A2,Adjectives,superior
A2,Adjectives,supportive
A2,Adjectives,suspicious
A2,Adjectives,tame
A2,Adjectives,targeted
A2,Adjectives,technical
A2,Adjectives,technological
A2,Adjectives,temporary
A2,Adjectives,thermal
A2,Adjectives,thin
A2,Adjectives,thoughtful
A2,Adjectives,tiresome
A2,Adjectives,tiring
A2,Adjectives,total
A2,Adjectives,tragic
A2,Adjectives,trained
A2,Adjectives,typical
A2,Adjectives,ugly
A2,Adjectives,ultimate
A2,Adjectives,unacceptable
A2,Adjectives,unbearable
A2,Adjectives,uncomfortable
A2,Adjectives,unconscious
A2,Adjectives,unconventional
A2,Adjectives,undeniable
A2,Adjectives,understandable
A2,Adjectives,underwater
A2,Adjectives,unemployed
A2,Adjectives,unfortunate
A2,Adjectives,unhappy
A2,Adjectives,unhealthy
A2,Adjectives,united
A2,Adjectives,universal
A2,Adjectives,unknown
A2,Adjectives,unlucky
A2,Adjectives,unnatural
A2,Adjectives,unpleasant
A2,Adjectives,unpopular
A2,Adjectives,unpredictable
A2,Adjectives,unprepared
A2,Adjectives,unproductive
A2,Adjectives,unreasonable
A2,Adjectives,unsatisfied
A2,Adjectives,unseen
A2,Adjectives,unskilled
A2,Adjectives,unstable
A2,Adjectives,unsteady
A2,Adjectives,unsuccessful
A2,Adjectives,unsuitable
A2,Adjectives,untidy
A2,Adjectives,unwilling
A2,Adjectives,up-to-date
A2,Adjectives,upper
A2,Adjectives,upset
A2,Adjectives,urban
A2,Adjectives,used
A2,Adjectives,useless
A2,Adjectives,usual
A2,Adjectives,vacant
A2,Adjectives,vanished
A2,Adjectives,variable
A2,Adjectives,varied
A2,Adjectives,various
A2,Adjectives,vast
A2,Adjectives,verbal
A2,Adjectives,vibrant
A2,Adjectives,vicious
A2,Adjectives,violent
A2,Adjectives,virtual
A2,Adjectives,visible
A2,Adjectives,vital
A2,Adjectives,vocal
A2,Adjectives,vocational
A2,Adjectives,volcanic
A2,Adjectives,voluntary
A2,Adjectives,vulnerable
A2,Adjectives,wasted
A2,Adjectives,wasteful
A2,Adjectives,wealthy
A2,Adjectives,weekly
A2,Adjectives,well-known
A2,Adjectives,western
A2,Adjectives,whole
A2,Adjectives,widespread
A2,Adjectives,wild
A2,Adjectives,willing
A2,Adjectives,winning
A2,Adjectives,wise
A2,Adjectives,witty
A2,Adjectives,working
A2,Adjectives,worldwide
A2,Adjectives,worrying
A2,Adjectives,worst
A2,Adjectives,worth
A2,Adjectives,worthwhile
A2,Adjectives,worthy
A2,Adjectives,written
A2,Adjectives,wrong
A2,Adjectives,young
A2,Adverbs & Others,abroad
A2,Adverbs & Others,accidentally
A2,Adverbs & Others,according to
A2,Adverbs & Others,accurately
A2,Adverbs & Others,actually
A2,Adverbs & Others,afterwards
A2,Adverbs & Others,ago
A2,Adverbs & Others,almost
A2,Adverbs & Others,along
A2,Adverbs & Others,already
A2,Adverbs & Others,always
A2,Adverbs & Others,anymore
A2,Adverbs & Others,apart
A2,Adverbs & Others,apparently
A2,Adverbs & Others,appropriately
A2,Adverbs & Others,approximately
A2,Adverbs & Others,around
A2,Adverbs & Others,as
A2,Adverbs & Others,aside
A2,Adverbs & Others,asleep
A2,Adverbs & Others,at least
A2,Adverbs & Others,backwards
A2,Adverbs & Others,badly
A2,Adverbs & Others,basically
A2,Adverbs & Others,because of
A2,Adverbs & Others,behind
A2,Adverbs & Others,below
A2,Adverbs & Others,besides
A2,Adverbs & Others,best
A2,Adverbs & Others,bit
A2,Adverbs & Others,both
A2,Adverbs & Others,briefly
A2,Adverbs & Others,by
A2,Adverbs & Others,carefully
A2,Adverbs & Others,certainly
A2,Adverbs & Others,clearly
A2,Adverbs & Others,closely
A2,Adverbs & Others,comfortably
A2,Adverbs & Others,completely
A2,Adverbs & Others,daily
A2,Adverbs & Others,deliberately
A2,Adverbs & Others,despite
A2,Adverbs & Others,directly
A2,Adverbs & Others,downstairs
A2,Adverbs & Others,during
A2,Adverbs & Others,each
A2,Adverbs & Others,easily
A2,Adverbs & Others,effectively
A2,Adverbs & Others,efficiently
A2,Adverbs & Others,either
A2,Adverbs & Others,else
A2,Adverbs & Others,elsewhere
A2,Adverbs & Others,enough
A2,Adverbs & Others,equally
A2,Adverbs & Others,especially
A2,Adverbs & Others,even
A2,Adverbs & Others,ever
A2,Adverbs & Others,exactly
A2,Adverbs & Others,extremely
A2,Adverbs & Others,fairly
A2,Adverbs & Others,finally
A2,Adverbs & Others,first
A2,Adverbs & Others,firstly
A2,Adverbs & Others,fortunately
A2,Adverbs & Others,fully
A2,Adverbs & Others,further
A2,Adverbs & Others,gently
A2,Adverbs & Others,hardly
A2,Adverbs & Others,highly
A2,Adverbs & Others,honestly
A2,Adverbs & Others,hope
A2,Adverbs & Others,hopefully
A2,Adverbs & Others,increasingly
A2,Adverbs & Others,indeed
A2,Adverbs & Others,indoors
A2,Adverbs & Others,inevitably
A2,Adverbs & Others,instead
A2,Adverbs & Others,instead of
A2,Adverbs & Others,kindly
A2,Adverbs & Others,largely
A2,Adverbs & Others,lately
A2,Adverbs & Others,least
A2,Adverbs & Others,less
A2,Adverbs & Others,likely
A2,Adverbs & Others,locally
A2,Adverbs & Others,luckily
A2,Adverbs & Others,mainly
A2,Adverbs & Others,merely
A2,Adverbs & Others,moreover
A2,Adverbs & Others,most
